"Mode","Keys","Action","Description"
"Mail","Ctrl+N","New Email","Create a new email message"
"Mail","Ctrl+R","Reply","Reply to the sender"
"Mail","Ctrl+Shift+R","Reply All","Reply to all recipients"
"Mail","Ctrl+F","Forward","Forward the selected message"
"Mail","Ctrl+Enter","Send","Send the current message"
"Mail","Alt+S","Send","Alternate shortcut to send the current message"
"Mail","Ctrl+D","Delete","Delete the selected message"
"Mail","Insert","Toggle Flag","Flag or unflag the selected message for follow-up"
"Mail","Ctrl+Q","Mark as Read","Mark the selected message as read"
"Mail","Ctrl+U","Mark as Unread","Mark the selected message as unread"
"Mail","Ctrl+E","Search","Search the current mailbox"
"Mail","Ctrl+Shift+P","New Search Folder","Create a new search folder"
"Mail","Ctrl+K","Check Names","Resolve recipient names in the To and Cc fields"
"Compose","Ctrl+B","Bold","Toggle bold formatting"
"Compose","Ctrl+I","Italic","Toggle italic formatting"
"Compose","Ctrl+U","Underline","Toggle underline formatting"
"Compose","Ctrl+Shift+>","Increase Font Size","Increase the font size of the selected text"
"Compose","Ctrl+Shift+<","Decrease Font Size","Decrease the font size of the selected text"
"Compose","Ctrl+Shift+F","Change Font","Open the Font dialog"
"Compose","Ctrl+K","Insert Hyperlink","Insert a hyperlink"
"Compose","Ctrl+L","Align Left","Align the paragraph to the left"
"Compose","Ctrl+E","Center Align","Center the paragraph"
"Compose","Ctrl+R","Align Right","Align the paragraph to the right"
"Compose","Ctrl+J","Justify","Justify the paragraph"
"Compose","Ctrl+Shift+L","Apply Bullets","Apply or remove bullet list formatting"
"Compose","Ctrl+Shift+C","Copy Formatting","Copy formatting with Format Painter"
"Compose","Ctrl+Shift+V","Paste Formatting","Paste formatting with Format Painter"
"Compose","Ctrl+Shift+8","Show Formatting Marks","Toggle display of paragraph marks and hidden formatting symbols"
"Compose","F3","Insert Quick Part","Insert an AutoText/Quick Part entry"
"Compose","Ctrl+Spacebar","Clear Formatting","Remove character formatting from the selection"
"Compose","Ctrl+Shift+A","All Caps","Toggle all capital letters formatting for the selected text"
"Compose","Ctrl+Shift+K","Small Caps","Toggle small capital letters formatting for the selected text"
"Compose","Ctrl+Shift+=","Superscript","Toggle superscript formatting for the selected text"
"Compose","Ctrl+=","Subscript","Toggle subscript formatting for the selected text"
"Compose","Ctrl+1","Single Line Spacing","Set paragraph line spacing to single"
"Compose","Ctrl+2","Double Line Spacing","Set paragraph line spacing to double"
"Compose","Ctrl+5","1.5 Line Spacing","Set paragraph line spacing to 1.5 lines"
"Compose","Ctrl+Q","Clear Paragraph Formatting","Remove paragraph-level formatting from the selection"
"Calendar","Ctrl+Shift+A","New Appointment","Create a new appointment"
"Calendar","Ctrl+Shift+Q","New Meeting Request","Create a new meeting request"
"Calendar","Ctrl+G","Go to Date","Open the Go to Date dialog"
"Calendar","Ctrl+Alt+1","Day View","Switch Calendar to Day view"
"Calendar","Ctrl+Alt+2","Work Week View","Switch Calendar to Work Week view"
"Calendar","Ctrl+Alt+3","Week View","Switch Calendar to Week view"
"Calendar","Ctrl+Alt+4","Month View","Switch Calendar to Month view"
"Contacts","Ctrl+Shift+C","New Contact","Create a new contact"
"Contacts","Ctrl+Shift+L","New Contact Group","Create a new contact group"
"Tasks","Ctrl+Shift+K","New Task","Create a new task"
"Notes","Ctrl+Shift+N","New Note","Create a new note"
